Country Name,Total confirmed cases,Total deceased,Total vaccinations,Deceased to Confirmed cases %,Rank,CCA3,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
Andorra,46147,155,57317,0.33588315600147356,203,AND,Andorra la Vella,Europe,79824,77700,71746,71519,66097,53569,35611,19860,468,170.5641,1.01,0.0
Azerbaijan,818634,9873,5373253,1.2060334655047311,91,AZE,Baku,Asia,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,119.6082,1.0044,0.13
Central African Republic,14903,113,1454656,0.7582365966583909,117,CAF,Bangui,Africa,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,8.9555,1.0224,0.07
Ivory Coast,86973,822,10721755,0.9451208995895278,52,CIV,Yamoussoukro,Africa,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,87.3295,1.0248,0.35
Costa Rica,1105792,8913,4463581,0.8060286202106726,124,CRI,San José,North America,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,101.3861,1.0052,0.06
Gibraltar,20069,108,41654,0.538143405251881,219,GIB,Gibraltar,Europe,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,0.9994,0.0
Ireland,1660635,7901,4095768,0.4757818545315497,125,IRL,Dublin,Europe,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,71.4799,1.0073,0.06
Saint Lucia,28959,393,59973,1.3570910597741634,190,LCA,Castries,North America,179857,179237,175623,170935,159500,142301,121633,103090,616,291.9756,1.0011,0.0
Morocco,1264711,16276,22638416,1.2869343272890013,40,MAR,Rabat,Africa,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,83.883,1.0103,0.47
Monaco,14471,63,20426,0.4353534655517932,217,MCO,Monaco,Europe,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,0.9941,0.0
Mauritius,260947,1024,1021934,0.3924168509314152,157,MUS,Port Louis,Africa,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946,1.0004,0.02
Nigeria,264617,3154,43817495,1.1919113284482856,6,NGA,Abuja,Africa,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,236.5759,1.0241,2.74
Papua New Guinea,44931,664,347753,1.4778215485967372,93,PNG,Port Moresby,Oceania,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,21.9139,1.0194,0.13
Seychelles,46358,169,85397,0.3645541222658441,196,SYC,Victoria,Africa,107118,105530,99240,92409,80060,71057,65290,54379,452,236.9867,1.0061,0.0
Somalia,27197,1361,3668114,5.00422840754495,70,SOM,Mogadishu,Africa,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,27.5971,1.0312,0.22
Suriname,81078,1384,267820,1.7069981992649055,170,SUR,Paramaribo,South America,618040,607065,575475,546080,478998,412756,375112,379918,163820,3.7727,1.0082,0.01
Turks and Caicos Islands,6380,36,32338,0.5642633228840125,212,TCA,Cockburn Town,North America,45703,44276,36538,29726,18744,11709,7598,5665,948,48.2099,1.0131,0.0
Tunisia,1145163,29243,8896848,2.5536102720748053,79,TUN,Tunis,Africa,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,75.5218,1.0076,0.15
Germany,57763003,389150,115681002,0.6737011231912579,19,DEU,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05
France,90395908,320054,158477834,0.3540580620087361,23,FRA,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81
Thailand,9342446,65182,56972124,0.6976973696181921,20,THA,Bangkok,Asia,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9
Armenia,439302,8669,1129104,1.9733577356806935,140,ARM,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03
Bahrain,674909,1518,1201437,0.22491921133071274,154,BHR,Manama,Asia,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1924.4876,1.0061,0.02
Brunei,224610,130,449429,0.05787809981746138,175,BRN,Bandar Seri Begawan,Asia,449002,441725,421437,396053,333926,261928,187921,133343,5765,77.8841,1.0081,0.01
Bahamas,37171,830,172588,2.232923515643916,176,BHS,Nassau,North America,409984,406471,392697,373272,325014,270679,223752,179129,13943,29.4043,1.0051,0.01
Belize,68612,680,250319,0.9910802775024777,177,BLZ,Belmopan,North America,405272,394921,359871,322106,240406,182589,145133,120905,22966,17.6466,1.0131,0.01
Republic of the Congo,24775,386,681463,1.5580221997981836,114,COG,Brazzaville,Africa,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,17.4574,1.0231,0.07
China,7758224,32624,680773000,0.4205086112491725,1,CHN,Beijing,Asia,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,146.8933,1.0,17.88
Dominica,14852,68,32872,0.45785079450579047,204,DMA,Roseau,North America,72737,71995,70007,68755,68346,69481,72978,68895,751,96.8535,1.0045,0.0
Ecuador,999837,35884,15237316,3.5889850045557425,67,ECU,Quito,South America,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.0229,1.0114,0.23
Faroe Islands,34658,28,37722,0.08078942812626233,209,FRO,Tórshavn,Europe,53090,52415,48816,48410,45660,47479,43054,38416,1393,38.112,1.0038,0.0
Gabon,48668,306,310170,0.6287498972630887,146,GAB,Libreville,Africa,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.9252,1.0204,0.03
Georgia,1762206,16900,1645776,0.9590252217958627,131,GEO,Tbilisi,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05
Ghana,168616,1459,11371567,0.86527968876026,47,GHA,Accra,Africa,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42
Guinea,37652,449,5093664,1.1924997344098587,75,GIN,Conakry,Africa,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.3716,1.0242,0.17
Jamaica,150909,3286,830330,2.1774711912477054,139,JAM,Kingston,North America,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,257.2447,0.9999,0.04
Jordan,1742256,14114,4821579,0.8100990899156036,83,JOR,Amman,Asia,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,126.3221,1.0123,0.14
Lebanon,1213200,10650,2648351,0.8778437190900099,119,LBN,Beirut,Asia,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,525.2334,0.9816,0.07
Montserrat,1326,8,2086,0.6033182503770739,230,MSR,Brades,North America,4390,4500,5059,4938,5138,10805,11452,11402,102,43.0392,0.9939,0.0
Palau,5459,6,20165,0.1099102399706906,222,PLW,Ngerulmud,Oceania,18055,17972,17794,18540,19726,15293,12252,11366,459,39.3355,1.0017,0.0
Qatar,438499,682,2685749,0.15553057133539644,143,QAT,Doha,Asia,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,232.6189,1.0026,0.03
Saudi Arabia,814829,9322,10969797,1.144043719602518,41,SAU,Riyadh,Asia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,16.9368,1.0128,0.46
Sudan,76591,4961,6651268,6.477262341528378,32,SDN,Khartoum,Africa,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1886068,24.8529,1.0267,0.59
San Marino,20552,118,26322,0.5741533670688984,218,SMR,San Marino,Europe,33660,34007,33570,31608,26823,23132,21346,18169,61,551.8033,0.9975,0.0
Turkmenistan,0,0,2937760,0.0,111,TKM,Ashgabat,Asia,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,13.1751,1.014,0.08
Samoa,15889,29,222996,0.18251620618037637,188,WSM,Apia,Oceania,222382,214929,203571,194672,184008,168186,164905,142771,2842,78.2484,1.0165,0.0
Antigua and Barbuda,9008,145,64091,1.6096802841918294,201,ATG,Saint John’s,North America,93763,92664,89941,85695,75055,63328,64888,64516,442,212.1335,1.0058,0.0
Bangladesh,2559498,29337,131389148,1.1462013254161558,8,BGD,Dhaka,Asia,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570,1160.035,1.0108,2.15
Bulgaria,1250250,37663,2099212,3.0124375124975007,108,BGR,Sofia,Europe,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,61.1654,0.9849,0.09
Benin,27638,163,3671646,0.5897677111223677,77,BEN,Porto-Novo,Africa,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622,118.5635,1.0274,0.17
Belarus,994037,7118,6498901,0.7160699249625517,96,BLR,Minsk,Europe,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,45.9295,0.9955,0.12
Canada,7914343,167195,93796514,2.1125569109147784,39,CAN,Ottawa,North America,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670,3.8513,1.0078,0.48
Switzerland,8109161,27100,12078678,0.3341899365421404,101,CHE,Bern,Europe,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,211.7157,1.0056,0.11
Cuba,1110948,8530,10631102,0.7678127149065482,85,CUB,Havana,North America,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,102.0366,0.9961,0.14
Egypt,515348,24796,52691386,4.8115060114718595,14,EGY,Cairo,Africa,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,110.7188,1.0158,1.39
Guernsey,30992,62,47995,0.20005162622612288,207,GGY,Saint Peter Port,Europe,63301,62794,61629,60782,59114,57727,52860,52656,78,811.5513,1.0037,0.0
Equatorial Guinea,16894,183,264344,1.0832248135432698,152,GNQ,Malabo,Africa,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,59.7094,1.0247,0.02
Guinea-Bissau,8796,175,587187,1.9895407003183265,149,GNB,Bissau,Africa,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,58.2856,1.0218,0.03
Italy,63645029,352921,96840043,0.5545146345993495,25,ITA,Rome,Europe,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,195.9191,0.9966,0.74
Kyrgyzstan,205920,2991,1594808,1.4525058275058276,110,KGZ,Bishkek,Asia,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,33.1612,1.0158,0.08
South Korea,24284819,27929,45070438,0.1150060043684081,29,KOR,Seoul,Asia,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,100210,517.0722,0.9997,0.65
Kazakhstan,1482094,19047,10829480,1.2851411583880645,66,KAZ,Nursultan,Asia,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7.1188,1.0105,0.24
Mali,32385,739,2203178,2.2819206422726572,59,MLI,Bamako,Africa,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.2178,1.0314,0.28
Namibia,166645,4077,586652,2.446518047346155,145,NAM,Windhoek,Africa,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3.1092,1.0146,0.03
Nepal,999121,12015,26605011,1.20255704764488,49,NPL,Kathmandu,Asia,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,207.5511,1.0171,0.38
Niue,78,0,1650,0.0,232,NIU,Alofi,Oceania,1934,1942,1847,1812,2074,2533,3637,5185,260,7.4385,0.9985,0.0
Serbia,2324719,16846,3347075,0.7246467207434533,105,SRB,Belgrade,Europe,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,81.7257,0.9897,0.09
Slovenia,1146874,7234,1465398,0.6307580431677761,148,SVN,Ljubljana,Europe,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,20273,104.5649,1.0002,0.03
Chad,7558,193,3733869,2.5535856046573167,69,TCD,N'Djamena,Africa,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,13.8032,1.0316,0.22
Tokelau,0,0,1339,0.0,233,TKL,Nukunonu,Oceania,1871,1827,1454,1367,1666,1669,1647,1714,12,155.9167,1.0119,0.0
Turkey,16852382,101068,54854453,0.5997253088613823,18,TUR,Ankara,Asia,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,108.9145,1.0067,1.07
Tanzania,39253,845,19658725,2.1527017043283316,22,TZA,Dodoma,Africa,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,69.3034,1.03,0.82
Uzbekistan,244006,1637,21051293,0.6708851421686352,43,UZB,Tashkent,Asia,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,77.3975,1.016,0.43
Colombia,17784672,476778,41884807,2.68083662155816,28,COL,Bogota,South America,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,45.4339,1.0069,0.65
Cyprus,579899,1173,665446,0.20227660333954706,158,CYP,Nicosia,Europe,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,135.2814,1.0059,0.02
Denmark,3283706,6987,4816889,0.2127778796274697,115,DNK,Copenhagen,Europe,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,136.4984,1.0048,0.07
Grenada,19473,236,44019,1.2119344733733888,193,GRD,Saint George's,North America,125438,123663,118980,114039,107432,99047,94838,98794,344,364.6453,1.0066,0.0
Greenland,11971,21,38659,0.1754239411912121,208,GRL,Nuuk,North America,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0.0261,1.004,0.0
Croatia,1222007,16817,2309901,1.376178696194048,130,HRV,Zagreb,Europe,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,71.2153,0.9927,0.05
Israel,12717008,19625,18210008,0.15432089057426088,98,ISR,Jerusalem,Asia,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,435.1617,1.0155,0.11
Isle of Man,38008,116,65663,0.3051989054935803,202,IMN,Douglas,Europe,84519,84046,83593,83828,75562,68865,64022,55298,572,147.7605,1.003,0.0
Iran,7540962,144243,64978822,1.9127930892636775,17,IRN,Tehran,Asia,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,53.7258,1.0071,1.11
Kuwait,657745,2563,3306742,0.3896646876829166,129,KWT,Kuwait City,Asia,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,239.5821,1.0044,0.05
Liechtenstein,19356,85,26497,0.4391403182475718,216,LIE,Vaduz,Europe,39327,38756,37355,35926,33026,28765,25003,21089,160,245.7937,1.0074,0.0
Latvia,912002,5965,1346183,0.6540555832114403,151,LVA,Riga,Europe,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.666,0.9876,0.02
Libya,530589,6685,2303655,1.259920578828434,107,LBY,Tripoli,Africa,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,3.8717,1.0114,0.09
Mauritania,62778,993,2005049,1.5817643123387173,126,MRT,Nouakchott,Africa,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,4.5951,1.0263,0.06
Malawi,87842,2675,3036122,3.0452403178434007,62,MWI,Lilongwe,Africa,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,172.22,1.0259,0.26
Niger,9388,312,3740079,3.323391563698338,54,NER,Niamey,Africa,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,20.6851,1.0378,0.33
Oman,397993,4628,3269526,1.1628345222152148,127,OMN,Muscat,Asia,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,14.7861,1.0123,0.06
Poland,14895685,321210,66744509,2.1563962986596454,37,POL,Warsaw,Europe,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,127.4698,1.0404,0.5
Palestine,702768,5707,0,0.8120745395350956,122,PSE,Ramallah,Asia,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,6220,844.063,1.0227,0.07
Portugal,5495738,26581,9746410,0.48366570604348313,92,PRT,Lisbon,Europe,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,111.5307,0.9981,0.13
El Salvador,201785,4228,4630037,2.095299452387442,112,SLV,San Salvador,North America,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,301.145,1.0035,0.08
Syria,57197,3163,2940095,5.530010315226323,60,SYR,Damascus,Asia,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,119.4797,1.0376,0.28
Uganda,169001,3628,18386089,2.1467328595688784,31,UGA,Kampala,Africa,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,195.61,1.0304,0.59
Czech Republic,12154031,122796,13947454,1.0103314694523982,88,CZE,Prague,Europe,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,133.0627,0.9984,0.13
Hong Kong,15441,216,6837449,1.3988731299786283,104,HKG,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09
New Zealand,1746283,2955,4297219,0.16921655882809372,123,NZL,Wellington,Oceania,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,19.1716,1.0108,0.07
Aruba,42970,228,74151,0.5306027461019316,198,ABW,Oranjestad,North America,106445,106585,104257,100341,89101,65712,62267,59106,180,591.3611,0.9991,0.0
Burkina Faso,21128,387,2676883,1.8316925407042788,58,BFA,Ouagadougou,Africa,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,83.0641,1.0259,0.28
Bhutan,61419,21,695693,0.03419137400478679,165,BTN,Thimphu,Asia,782455,772506,743274,705516,587207,558442,415257,298894,38394,20.3796,1.0064,0.01
Iceland,205284,213,304895,0.10375869527094173,179,ISL,Reykjavík,Europe,372899,366669,331060,318333,281462,255019,228263,204468,103000,3.6204,1.0069,0.0
Kiribati,3430,13,82774,0.37900874635568516,192,KIR,Tarawa,Oceania,131232,126463,116707,107995,88826,75124,60813,57437,811,161.815,1.0183,0.0
